DON_OPO,CAS_Period,Mean_LUNDON,Median_LUNDON,N
ALOB,Post-CAS,27.08810915303943,12.808644633886807,460
ALOB,Pre-CAS,24.026093105139836,8.400243226754036,861
AROR,Post-CAS,27.541513109377934,15.002918887447088,234
AROR,Pre-CAS,26.566439163675998,13.85733901554976,297
AZOB,Post-CAS,26.674569810373164,17.91117478798892,443
AZOB,Pre-CAS,28.492396046666737,20.244343824304167,953
CADN,Post-CAS,28.157926138416062,16.57735325691498,706
CADN,Pre-CAS,25.11964340893971,13.31998771560177,1450
CAGS,Post-CAS,51.92121156066714,53.86083556227004,61
CAGS,Pre-CAS,52.12409172336885,60.24346942006266,103
CAOP,Post-CAS,31.656993165401186,28.60139192939547,1131
CAOP,Pre-CAS,33.072769981964555,29.989547401616555,2265
CASD,Post-CAS,33.93954747702132,27.179689804549994,242
CASD,Pre-CAS,34.300846131578226,28.497165636432428,388
CORS,Post-CAS,28.479949652498618,20.120332963102364,337
CORS,Pre-CAS,21.76670294101447,6.780716895704682,641
DCTC,Pre-CAS,49.56124709159687,53.54116836537722,198
FLFH,Post-CAS,36.77504784613007,32.259416058406295,292
FLFH,Pre-CAS,33.49618762247775,28.723424179464775,727
FLMP,Post-CAS,25.504548888930138,15.195867159720617,293
FLMP,Pre-CAS,26.884646405724123,19.80694841046785,679
FLUF,Post-CAS,27.852260396119924,16.986567209306948,374
FLUF,Pre-CAS,24.411864376779917,11.08262497516736,752
FLWC,Post-CAS,27.60476357709275,14.67366595662353,496
FLWC,Pre-CAS,23.383937375870637,10.087198284406943,1110
GALL,Post-CAS,40.08051592723393,39.84036246837598,676
GALL,Pre-CAS,27.399946310440555,17.050653042078324,1390
HIOP,Post-CAS,27.96406154001537,15.849065759280819,24
HIOP,Pre-CAS,24.073661731244314,12.255284874383989,130
IAOP,Post-CAS,26.22617908288019,21.35039629858502,126
IAOP,Pre-CAS,25.427293764076392,12.862592535778006,343
ILIP,Post-CAS,28.41898888246918,19.579084069894297,693
ILIP,Pre-CAS,24.339609977288998,12.108465792174487,1663
INOP,Post-CAS,29.99109664325225,20.20627356845209,546
INOP,Pre-CAS,30.802718999884444,25.537274408903144,890
KYDA,Post-CAS,19.851027144233377,5.327305732601061,393
KYDA,Pre-CAS,22.52565522808863,9.766192022170873,620
LAOP,Post-CAS,35.31271461301962,31.13583726135551,440
LAOP,Pre-CAS,33.6923572849557,26.31865545418239,920
MAOB,Post-CAS,24.203914521417605,12.432165093992781,535
MAOB,Pre-CAS,30.41320262470153,20.32562674783834,630
MDPC,Post-CAS,46.34378937296034,50.61342450927948,166
MDPC,Pre-CAS,30.10561625434041,22.944597889510298,626
MIOP,Post-CAS,26.846223293929558,16.15218851597875,558
MIOP,Pre-CAS,27.89970636836007,16.556323962266394,1165
MNOP,Post-CAS,26.198355833940816,12.306927170910352,413
MNOP,Pre-CAS,27.797299825865895,15.148559671002863,666
MOMA,Post-CAS,45.59067015564722,46.26113302765239,153
MOMA,Pre-CAS,46.59983789907594,49.81919277908042,354
MSOP,Post-CAS,34.50374536970858,24.35560163958185,163
MSOP,Pre-CAS,35.45140289830564,25.251823076103204,338
MWOB,Post-CAS,32.81364647743298,22.820918594608223,524
MWOB,Pre-CAS,33.893554335350096,26.906961047143383,1103
NCCM,Post-CAS,31.625428381004667,21.84781239171447,264
NCCM,Pre-CAS,30.695069765635523,24.03523862245988,570
NCNC,Post-CAS,24.45316844246983,13.488194445550526,400
NCNC,Pre-CAS,25.00857014558649,13.692531609283138,830
NEOR,Post-CAS,26.16611830366413,21.013421262865066,131
NEOR,Pre-CAS,22.62464315107162,9.837665957980077,241
NJTO,Post-CAS,17.409359280924836,5.7841874255646015,392
NJTO,Pre-CAS,15.146026019304184,3.1782971359325654,742
NMOP,Post-CAS,15.88028831594809,7.241295939631684,73
NMOP,Pre-CAS,15.874176916425617,6.486466247897653,162
NVLV,Post-CAS,37.43650097877659,35.47087006521394,295
NVLV,Pre-CAS,24.457210093659718,11.295760224573858,622
NYAP,Post-CAS,26.79638642911877,16.053936817897586,163
NYAP,Pre-CAS,20.123190366124764,6.194601627210254,294
NYFL,Post-CAS,24.736490785346312,11.090224220755065,80
NYFL,Pre-CAS,23.378807608186023,11.917293944241642,181
NYRT,Post-CAS,20.321214166819367,9.214126077654551,803
NYRT,Pre-CAS,20.56854600220249,8.512346805250814,1376
NYWN,Post-CAS,20.63753640858666,14.369079130130803,64
NYWN,Pre-CAS,21.981265301185072,9.039974854174627,137
OHLB,Post-CAS,25.18555650905725,14.384924594430522,242
OHLB,Pre-CAS,27.186414112762275,14.650592576865412,588
OHLC,Post-CAS,23.333891419885685,11.746407513017006,190
OHLC,Pre-CAS,22.4028936427389,9.995474800283196,409
OHLP,Post-CAS,17.19587779903301,3.8496855688829674,216
OHLP,Pre-CAS,20.82716186507803,8.04755348949497,535
OHOV,Post-CAS,22.49221252613883,10.630689141721241,113
OHOV,Pre-CAS,22.71576290607417,10.10412401983106,299
OKOP,Post-CAS,29.822469795024148,21.736694979495386,273
OKOP,Pre-CAS,22.91630437571438,11.174250260219374,560
ORUO,Post-CAS,35.83349673427555,32.853439412591555,343
ORUO,Pre-CAS,28.19857535046042,15.366847194634381,555
PADV,Post-CAS,22.787046162370206,8.77317367306844,842
PADV,Pre-CAS,20.48660343333089,5.469614763457137,2139
PATF,Post-CAS,15.852041865387678,5.863739251684666,515
PATF,Pre-CAS,19.49941450982365,7.878797481453002,1012
PRLL,Post-CAS,23.14189014862012,8.92392151501097,255
PRLL,Pre-CAS,18.80500501734012,4.5638713615947655,513
SCOP,Post-CAS,28.028199234057386,16.973988298763096,285
SCOP,Pre-CAS,32.08917985662597,26.78021126996394,671
TNDS,Post-CAS,27.833954860141112,15.713238620448287,666
TNDS,Pre-CAS,24.48987864231389,9.282553122053574,1364
TNMS,Post-CAS,26.459196503268913,12.782005551298104,146
TNMS,Pre-CAS,25.911107120582926,16.44525756614352,243
TXGC,Post-CAS,32.42881908022005,27.344981240066847,611
TXGC,Pre-CAS,31.683834471939093,26.615405855113355,1477
TXSA,Post-CAS,38.70119335754691,39.21875026962432,362
TXSA,Pre-CAS,36.48089427303389,34.84407555538009,793
TXSB,Post-CAS,43.49089888418983,44.74268644495841,761
TXSB,Pre-CAS,33.6553098257718,27.644659603229513,1568
UTOP,Post-CAS,19.032678498350386,9.26694540741845,210
UTOP,Pre-CAS,20.719289463335627,10.759618086823568,410
VATB,Post-CAS,30.50970267516616,22.05600681874536,359
VATB,Pre-CAS,27.341465965063847,16.569565479299854,758
WALC,Post-CAS,29.895318932723363,24.428253407573735,608
WALC,Pre-CAS,27.800976308371414,17.093663349302282,1041
WIDN,Post-CAS,27.551221012836663,18.956988837466056,165
WIDN,Pre-CAS,36.81000794698395,34.996100912315335,241
WIUW,Post-CAS,20.40165552034943,9.05201709341833,247
WIUW,Pre-CAS,23.704721183663274,12.32461348491809,525
